Enter a file name
D:\Wesley\Downloads\alice.txt
, 62
hedgehogs, 3
miss, 1
With, 4
wasnt, 11
bite, 2
busily, 4
doze, 1
company, 1
length, 1
grand, 3
decidedly, 4
Treacle, 2
baby, 13
grant, 1
showing, 2
brothers, 1
Lizard, 5
tuliproots, 1
attempt, 1
thick, 1
doesnt, 16
Fifteenth, 1
stalk, 1
lock, 1
usually, 2
Even, 1
VERY, 13
letters, 1
chatte, 1
fear, 4
lying, 8
minding, 1
Somebody, 1
bleeds, 1
made, 30
bythe, 1
GAVE, 2
signed, 2
sense, 3
being, 19
mouthsand, 1
knowand, 1
timidly, 9
hoping, 3
printed, 1
field, 1
Seals, 1
messages, 2
dog, 2
upset, 3
glanced, 1
Rabbit, 40
mad, 13
known, 1
nurse, 2
puppys, 1
man, 5
stand, 5
knows, 2
twenty, 1
may, 11
listeners, 1
POCKET, 1
crouched, 1
spectacles, 3
THAT, 10
feet, 19
use, 18
subject, 6
THAN, 1
feel, 8
terribly, 1
nursing, 3
liked, 6
Hearts, 6
peering, 1
likes, 1
waste, 1
cries, 1
cheerfully, 1
Alice, 386
dry, 8
interrupted, 9
picking, 2
labelled, 1
ringlets, 2
isBirds, 1
Hatters, 1
directions, 3
handsome, 1
nonsense, 6
Twentyfour, 1
breath, 4
uncommon, 1
repeat, 6
smoking, 2
suppressed, 4
make, 26
met, 3
lullaby, 1
waving, 5
exactly, 5
Wake, 2
rapidly, 2
fright, 2
witness, 10
riper, 1
doubtfully, 2
powdered, 1
TeaParty, 1
woke, 1
about, 94
sorrow, 2
trees, 7
crash, 2
THEY, 2
bank, 2
character, 1
sizes, 1
meaning, 8
above, 3
drawing, 1
Imagine, 1
stick, 4
moderate, 1
height, 5
singing, 2
scratching, 1
myself, 6
Seaography, 1
invent, 1
received, 1
wonderful, 2
TWO, 2
execute, 1
boxed, 1
highest, 1
impatiently, 5
animal, 1
shared, 1
March, 33
believe, 9
long, 31
fell, 6
remember, 14
into, 67
butterfly, 1
boots, 2
grumbled, 1
But, 37
twinkle, 5
stiff, 1
middle, 7
idiotic, 1
bother, 1
expression, 1
though, 11
childhood, 1
many, 12
stay, 5
appear, 2
Australia, 1
open, 7
treat, 1
seven, 1
expressing, 1
exclamation, 1
locks, 2
Swim, 1
Last, 1
bark, 2
roughly, 1
wood, 7
First, 7
riddles, 1
surprise, 5
distancebut, 1
maps, 1
dropping, 1
felt, 23
invited, 2
lobster, 2
KNOW, 1
wont, 24
William, 5
conquest, 1
look, 27
flying, 1
THIS, 4
allow, 2
knock, 1
proper, 3
Time, 3
ifif, 1
beast, 1
vegetable, 1
speed, 1
bats, 4
common, 1
interest, 1
themselves, 3
sleepy, 5
histories, 1
eagerly, 8
disagree, 1
disgust, 1
mark, 3
axes, 1
whole, 13
sharks, 1
elsebut, 1
shillings, 1
lost, 3
obstacle, 1
slate, 2
attempts, 1
still, 12
worm, 1
work, 8
lose, 1
cattle, 1
gardenhow, 1
books, 1
knowing, 2
among, 12
wore, 1
word, 10
love, 2
flock, 1
tongue, 4
forehead, 2
enjoy, 1
secret, 1
ourselves, 1
throwing, 2
across, 5
ear, 6
writing, 4
rushed, 1
eat, 17
leastat, 1
believed, 1
loud, 6
swallow, 1
Everybody, 2
haste, 1
opinion, 1
altogether, 5
soldier, 1
cutting, 1
upsetting, 1
insult, 1
voice, 46
existence, 1
axis, 1
subdued, 1
expecting, 3
spell, 1
pebbles, 2
coward, 1
squeezed, 1
Can, 1
sulky, 3
Cat, 24
seems, 5
Curiouser, 1
winter, 1
eel, 1
sternly, 1
ladderWhy, 1
HERE, 1
walking, 5
knuckles, 1
Tillie, 1
grave, 3
advantage, 3
dainties, 1
Change, 1
instead, 3
whispered, 5
itonce, 1
gravy, 1
WILL, 3
Ten, 1
irritated, 1
